ID,code,name,capacity,location
11111111-1111-1111-1111-111111111111,R-101,Sala 101,10,Edifício A
22222222-2222-2222-2222-222222222222,R-201,Sala 201,20,Edifício B
33333333-3333-3333-3333-333333333333,R-102,Sala 102,12,Edifício A
44444444-4444-4444-4444-444444444444,R-202,Sala 202,25,Edifício B
55555555-5555-5555-5555-555555555555,R-301,Auditório 301,80,Edifício C
66666666-6666-6666-6666-666666666666,R-302,Sala de Reuniões 302,15,Edifício C
77777777-7777-7777-7777-777777777777,R-401,Laboratório Eletrónica,18,Edifício D
88888888-8888-8888-8888-888888888888,R-402,Laboratório Mecatrónica,20,Edifício D
99999999-9999-9999-9999-999999999999,R-501,Sala de Formação 501,30,Edifício E
00000000-0000-0000-0000-000000000000,R-502,Sala de Workshop 502,25,Edifício E
